Title,URL,Listing Type,Base Price,Discount,Original Price,Monthly Rent,Service Charges,Utility Charges,Administrative Fee,Refundable Deposit,Raw Characteristics
Commercial property to rent• 25000 m² without real estateKarolusstraße Leipzig Heiterblick Sachsen 04347,https://www.bezrealitky.com/properties-flats-houses/903618-nabidka-pronajem-nebytoveho-prostoru-karolusstrasse-leipzig,Rent,,,,0.0,,,,,"{""Listing ID"": ""903618"", ""Price per unit"": ""€0/ m2"", ""Plocha nebytového prostoru"": ""25,000m²"", """": ""MHD 2 minutes on foot""}"
Office to rent• 180 m² without real estateLöningstr. 6-8 Bremerhaven Mitte-Süd Bremen 27568,https://www.bezrealitky.com/properties-flats-houses/903635-nabidka-pronajem-kancelare-loningstr-6-8-bremerhaven,Rent,,,,0.0,,,,,"{""Listing ID"": ""903635"", ""Available from"": ""04/06/2025"", ""Price per unit"": ""€0/ m2"", ""Plocha kanceláře"": ""180m²"", ""Age"": ""Over 50 years"", """": ""MHD 2 minutes on foot""}"
"Plot for sale• 220000 m² without real estate, Baden-Württemberg",https://www.bezrealitky.com/properties-flats-houses/903687-nabidka-prodej-pozemku-hochenschwand,Sale,0.0,,,,,,,,"{""Listing ID"": ""903687"", ""Plot space"": ""220,000m²"", ""Age"": ""Over 50 years"", ""Available from"": ""01/01/2026"", ""Condition"": ""Good"", ""Price per unit"": ""€0/ m2"", """": ""MHD 1 minute on foot""}"
Commercial property to rent4+1 • 6500 m² without real estateWissstraße 14-18 Dortmund Mitte Nordrhein-Westfalen 44137,https://www.bezrealitky.com/properties-flats-houses/903717-nabidka-pronajem-nebytoveho-prostoru-wissstrasse-14-18-dortmund,Rent,,,,0.0,,,,,"{""Listing ID"": ""903717"", ""Layout"": ""4+1"", ""Age"": ""Over 50 years"", ""Plocha nebytového prostoru"": ""6,500m²"", ""Condition"": ""After reconstruction"", ""Price per unit"": ""€0/ m2"", """": ""Lift""}"
Commercial property to rent• 6500 m² without real estateWissstraße 14-18 Dortmund Mitte Nordrhein-Westfalen 44137,https://www.bezrealitky.com/properties-flats-houses/903718-nabidka-pronajem-nebytoveho-prostoru-wissstrasse-14-18-dortmund,Rent,,,,0.0,,,,,"{""Listing ID"": ""903718"", ""Age"": ""Over 50 years"", ""Plocha nebytového prostoru"": ""6,500m²"", ""Price per unit"": ""€0/ m2"", """": ""Lift""}"
"Plot for sale• 3145 m² without real estate, Lower Saxony",https://www.bezrealitky.com/properties-flats-houses/903720-nabidka-prodej-pozemku-rosengarten,Sale,0.0,,,,,,,,"{""Listing ID"": ""903720"", ""Price per unit"": ""€0/ m2"", ""Plot space"": ""3,145m²"", """": ""MHD 1 minute by car""}"
"Commercial property to rent• 500 m² without real estate, Thuringia",https://www.bezrealitky.com/properties-flats-houses/903728-nabidka-pronajem-nebytoveho-prostoru-magdala,Rent,,,,0.0,,,,,"{""Listing ID"": ""903728"", ""Condition"": ""After reconstruction"", ""Plocha nebytového prostoru"": ""500m²"", ""Price per unit"": ""€0/ m2"", """": ""MHD 3 minutes on foot""}"
"Flat for sale1 bedroom • 34 m² without real estate, Hesse",https://www.bezrealitky.com/properties-flats-houses/903737-nabidka-prodej-bytu-giessen,Rent,,,,,,,,,"{""Listing ID"": ""903737"", ""Layout"": ""1 bedroom"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""34m²"", ""Available from"": ""03/06/2025"", ""Floor"": ""4. podlaží z 4"", ""Price per unit"": ""€4,088/ m2"", """": ""Parking""}"
"Commercial property to rent• 810 m² without real estateMichael Schäffer Straße 11d, , Bavaria",https://www.bezrealitky.com/properties-flats-houses/903749-nabidka-pronajem-nebytoveho-prostoru-michael-schaffer-strasse-11d-bobingen,Rent,,,,0.0,,,,,"{""Listing ID"": ""903749"", ""Available from"": ""01/11/2026"", ""Age"": ""Over 50 years"", ""Plocha nebytového prostoru"": ""810m²"", ""Condition"": ""New-build"", ""Price per unit"": ""€0/ m2"", """": ""MHD 6 minutes on foot""}"
"Plot for sale• 7470 m² without real estate, Brandenburg",https://www.bezrealitky.com/properties-flats-houses/903955-nabidka-prodej-pozemku-borkwalde,Sale,0.0,,,,,,,,"{""Listing ID"": ""903955"", ""Price per unit"": ""€0/ m2"", ""Plot space"": ""7,470m²"", """": ""MHD 3 minutes on foot""}"
Garage for salewithout real estateKöln Sülz Nordrhein-Westfalen 50939,https://www.bezrealitky.com/properties-flats-houses/903988-nabidka-prodej-garaze-koln,Rent,,,,,,,,,"{""Listing ID"": ""903988"", ""Price per unit"": ""€∞/ m2"", """": ""MHD 1 minute on foot""}"
Office to rent• 220 m² without real estateHamm Bockum-Hövel Nordrhein-Westfalen 59075,https://www.bezrealitky.com/properties-flats-houses/904061-nabidka-pronajem-kancelare-hamm,Rent,,,,0.0,,,,,"{""Listing ID"": ""904061"", ""Condition"": ""After reconstruction"", ""Price per unit"": ""€0/ m2"", ""Plocha kanceláře"": ""220m²"", ""Age"": ""Over 50 years"", """": ""MHD 4 minutes on foot""}"
"Flat for sale4+1 • 205 m² without real estate, North Rhine-Westphalia",https://www.bezrealitky.com/properties-flats-houses/904081-nabidka-prodej-bytu-schwelm,Rent,,,,,,,,,"{""Listing ID"": ""904081"", ""Layout"": ""4+1"", ""Floor"": ""1. podlaží"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""205m²"", ""Condition"": ""Very good"", ""EPC"": ""D - Less economical"", ""Price per unit"": ""€2,878/ m2"", """": ""MHD 2 minutes on foot""}"
"Commercial property for sale• 405 m² without real estate, Lower Saxony",https://www.bezrealitky.com/properties-flats-houses/904163-nabidka-prodej-nebytoveho-prostoru-fassberg,Sale,0.0,,,,,,,,"{""Listing ID"": ""904163"", ""Plot space"": ""1,834m²"", ""Floor"": ""1. podlaží"", ""Plocha nebytového prostoru"": ""405m²"", ""Condition"": ""After reconstruction"", ""Price per unit"": ""€0/ m2"", """": ""Garage""}"
"Plot for sale• 5959 m² without real estate, Mecklenburg-Vorpommern",https://www.bezrealitky.com/properties-flats-houses/904246-nabidka-prodej-pozemku-stralsund,Sale,0.0,,,,,,,,"{""Listing ID"": ""904246"", ""Price per unit"": ""€0/ m2"", ""Plot space"": ""5,959m²"", """": ""MHD 2 minutes on foot""}"
Commercial property to rent• 430 m² without real estateBochumer Straße 34 Essen Steele Nordrhein-Westfalen 45276,https://www.bezrealitky.com/properties-flats-houses/904386-nabidka-pronajem-nebytoveho-prostoru-bochumer-strasse-34-essen,Rent,,,,0.0,,,,,"{""Listing ID"": ""904386"", ""Condition"": ""Good"", ""Plocha nebytového prostoru"": ""430m²"", ""Price per unit"": ""€0/ m2"", """": ""MHD 2 minutes on foot""}"
Commercial property to rent• 2090 m² without real estateSchleidener Straße 18 Düsseldorf Heerdt Nordrhein-Westfalen 40549,https://www.bezrealitky.com/properties-flats-houses/904430-nabidka-pronajem-nebytoveho-prostoru-schleidener-strasse-18-dusseldorf,Rent,,,,0.0,,,,,"{""Listing ID"": ""904430"", ""Available from"": ""01/03/2026"", ""Condition"": ""After reconstruction"", ""Price per unit"": ""€0/ m2"", ""Plocha nebytového prostoru"": ""2,090m²"", ""Plot space"": ""2,700m²"", ""Age"": ""Over 50 years"", """": ""Garage""}"
Office to rent• 220 m² without real estateHundsmühler Straße 161a Oldenburg Eversten Niedersachsen 26131,https://www.bezrealitky.com/properties-flats-houses/904719-nabidka-pronajem-kancelare-hundsmuhler-strasse-161a-oldenburg,Rent,,,,0.0,,,,,"{""Listing ID"": ""904719"", ""Available from"": ""01/08/2025"", ""Floor"": ""1. podlaží"", ""Price per unit"": ""€0/ m2"", ""Plocha kanceláře"": ""220m²"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", """": ""Lift""}"
Plot for sale• 1809 m² without real estateSchleifmühlstr. 10-10a Erlangen Bayern 91054,https://www.bezrealitky.com/properties-flats-houses/904755-nabidka-prodej-pozemku-schleifmuhlstr-10-10a-erlangen,Sale,0.0,,,,,,,,"{""Listing ID"": ""904755"", ""Price per unit"": ""€0/ m2"", ""Plot space"": ""1,809m²"", """": ""MHD 6 minutes on foot""}"
"Office to rent• 265 m² without real estateEisenbahnstr. 21, , Baden-Württemberg",https://www.bezrealitky.com/properties-flats-houses/904806-nabidka-pronajem-kancelare-eisenbahnstr-21-waldshut-tiengen,Rent,,,,0.0,,,,,"{""Listing ID"": ""904806"", ""Condition"": ""After reconstruction"", ""Price per unit"": ""€0/ m2"", ""Plocha kanceláře"": ""265m²"", ""Age"": ""Over 50 years"", """": ""MHD 0 minutes on foot""}"
"Commercial property for sale7+1 • 600 m² without real estateKaiser-Karl-5.-Allee 17, , Bavaria",https://www.bezrealitky.com/properties-flats-houses/904817-nabidka-prodej-nebytoveho-prostoru-kaiser-karl-5-allee-17-bad-abbach,Sale,0.0,,,,,,,,"{""Listing ID"": ""904817"", ""Layout"": ""7+1"", ""Condition"": ""Good"", ""Price per unit"": ""€0/ m2"", ""Plocha nebytového prostoru"": ""600m²"", ""Plot space"": ""10,000m²"", ""Age"": ""Over 50 years"", """": ""MHD 8 minutes on foot""}"
"Plot for sale• 1196 m² without real estate, Baden-Württemberg",https://www.bezrealitky.com/properties-flats-houses/904819-nabidka-prodej-pozemku-rottweil,Sale,0.0,,,,,,,,"{""Listing ID"": ""904819"", ""Price per unit"": ""€0/ m2"", ""Plot space"": ""1,196m²"", """": ""MHD 1 minute on foot""}"
Office to rent• 170 m² without real estateDüsseldorf - Golzheim Golzheim Nordrhein-Westfalen 40476,https://www.bezrealitky.com/properties-flats-houses/904853-nabidka-pronajem-kancelare-dusseldorf-golzheim,Rent,,,,0.0,,,,,"{""Listing ID"": ""904853"", ""Available from"": ""03/06/2025"", ""Age"": ""Over 50 years"", ""Plocha kanceláře"": ""170m²"", ""Condition"": ""After reconstruction"", ""Price per unit"": ""€0/ m2"", """": ""Garage""}"
Office to rent• 510 m² without real estateBlumenstrasse 17 Geretsried Gartenberg Bayern 82538,https://www.bezrealitky.com/properties-flats-houses/904854-nabidka-pronajem-kancelare-blumenstrasse-17-geretsried,Rent,,,,0.0,,,,,"{""Listing ID"": ""904854"", ""Available from"": ""04/06/2025"", ""Floor"": ""1. podlaží z 2"", ""Price per unit"": ""€0/ m2"", ""Plocha kanceláře"": ""510m²"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", """": ""MHD 3 minutes on foot""}"
"Commercial property for sale• 6403 m² without real estateKlingenthaler Straße 23 e, , Saxony",https://www.bezrealitky.com/properties-flats-houses/905016-nabidka-prodej-nebytoveho-prostoru-klingenthaler-strasse-23-e-muldenhammer,Rent,,,,,,,,,"{""Listing ID"": ""905016"", ""Plot space"": ""16,838m²"", ""Plocha nebytového prostoru"": ""6,403m²"", ""Price per unit"": ""€46/ m2"", """": ""MHD 7 minutes on foot""}"
"Plot for sale• 20000 m² without real estate, Saxony",https://www.bezrealitky.com/properties-flats-houses/905116-nabidka-prodej-pozemku-freiroda,Sale,0.0,,,,,,,,"{""Listing ID"": ""905116"", ""Price per unit"": ""€0/ m2"", ""Plot space"": ""20,000m²"", """": ""MHD 0 minutes on foot""}"
"Plot for sale• 5100 m² without real estateBahnhofstraße 6-8, , Saxony",https://www.bezrealitky.com/properties-flats-houses/905121-nabidka-prodej-pozemku-bahnhofstrasse-6-8-borsdorf,Sale,0.0,,,,,,,,"{""Listing ID"": ""905121"", ""Price per unit"": ""€0/ m2"", ""Plot space"": ""5,100m²"", """": ""MHD 2 minutes on foot""}"
Office to rent• 263 m² without real estateAm Mittelhafen 56 Münster Mitte Nordrhein-Westfalen 48155,https://www.bezrealitky.com/properties-flats-houses/905167-nabidka-pronajem-kancelare-am-mittelhafen-56-munster,Rent,,,,0.0,,,,,"{""Listing ID"": ""905167"", ""Condition"": ""Very good"", ""Price per unit"": ""€0/ m2"", ""Plocha kanceláře"": ""263m²"", ""Floor"": ""Ground floor"", """": ""MHD 7 minutes on foot""}"
"Plot for sale• 1519 m² without real estateSchwaignerstraße 28, , Bavaria",https://www.bezrealitky.com/properties-flats-houses/905171-nabidka-prodej-pozemku-schwaignerstrasse-28-mamming,Sale,0.0,,,,,,,,"{""Listing ID"": ""905171"", ""Plot space"": ""1,519m²"", ""Age"": ""Over 50 years"", ""Available from"": ""04/06/2025"", ""Condition"": ""Good"", ""Price per unit"": ""€0/ m2"", """": ""MHD 3 minutes on foot""}"
Office to rent• 235 m² without real estateGilching Gilching Bayern 82205,https://www.bezrealitky.com/properties-flats-houses/905404-nabidka-pronajem-kancelare-gilching,Rent,,,,0.0,,,,,"{""Listing ID"": ""905404"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Plocha kanceláře"": ""235m²"", ""Floor"": ""2. podlaží z 3"", ""Price per unit"": ""€0/ m2"", """": ""Lift""}"
"Office to rent• 1400 m² without real estateHüngersbergstrasse 1, , Saarland",https://www.bezrealitky.com/properties-flats-houses/905449-nabidka-pronajem-kancelare-hungersbergstrasse-1-schiffweiler-heiligenwald,Rent,,,,0.0,,,,,"{""Listing ID"": ""905449"", ""Available from"": ""03/06/2025"", ""Floor"": ""1. podlaží z 4"", ""Price per unit"": ""€0/ m2"", ""Plocha kanceláře"": ""1,400m²"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", """": ""Garage""}"
Plot for sale• 7300 m² without real estateRathenaustraße 70 a Erfurt Krämpfervorstadt Thüringen 99085,https://www.bezrealitky.com/properties-flats-houses/905521-nabidka-prodej-pozemku-rathenaustrasse-70-a-erfurt,Sale,0.0,,,,,,,,"{""Listing ID"": ""905521"", ""Plot space"": ""7,300m²"", ""Available from"": ""03/06/2025"", ""Price per unit"": ""€0/ m2"", """": ""MHD 4 minutes on foot""}"
"Office to rent• 253 m² without real estateGerhard-Malina-Straße 1a, , North Rhine-Westphalia",https://www.bezrealitky.com/properties-flats-houses/905685-nabidka-pronajem-kancelare-gerhard-malina-strasse-1a-dinslaken,Rent,,,,0.0,,,,,"{""Listing ID"": ""905685"", ""Available from"": ""04/06/2025"", ""Price per unit"": ""€0/ m2"", ""Plocha kanceláře"": ""253m²"", ""Condition"": ""Very good"", """": ""Lift""}"
Commercial property to rent• 520 m² without real estateAlter Platz 12 Klagenfurt Klagenfurt am Wörthersee Kärnten 9020,https://www.bezrealitky.com/properties-flats-houses/905765-nabidka-pronajem-nebytoveho-prostoru-alter-platz-12-klagenfurt,Rent,,,,0.0,,,,,"{""Listing ID"": ""905765"", ""Available from"": ""03/06/2025"", ""Price per unit"": ""€0/ m2"", ""Plocha nebytového prostoru"": ""520m²"", ""Condition"": ""After reconstruction"", """": ""MHD 3 minutes on foot""}"
"Office to rent• 694 m² without real estate, Bavaria",https://www.bezrealitky.com/properties-flats-houses/905771-nabidka-pronajem-kancelare-immenstadt,Rent,,,,0.0,,,,,"{""Listing ID"": ""905771"", ""Available from"": ""01/10/2025"", ""Age"": ""Over 50 years"", ""Plocha kanceláře"": ""694m²"", ""Condition"": ""Good"", ""Price per unit"": ""€0/ m2"", """": ""MHD 1 minute on foot""}"
Plot for sale• 680 m² without real estateRum Rum Tirol 6063,https://www.bezrealitky.com/properties-flats-houses/905785-nabidka-prodej-pozemku-rum,Sale,0.0,,,,,,,,"{""Listing ID"": ""905785"", ""Plot space"": ""680m²"", ""Available from"": ""01/08/2026"", ""Price per unit"": ""€0/ m2"", """": ""MHD 0 minutes on foot""}"
Commercial property to rent• 55 m² without real estateMitterdorf 15 Mitterdorf an der Raab Mitterdorf Steiermark 8181,https://www.bezrealitky.com/properties-flats-houses/905793-nabidka-pronajem-nebytoveho-prostoru-mitterdorf-15-mitterdorf-an-der-raab,Rent,,,,0.0,,,,,"{""Listing ID"": ""905793"", ""Condition"": ""New-build"", ""Plocha nebytového prostoru"": ""55m²"", ""Price per unit"": ""€0/ m2"", """": ""MHD 1 minute on foot""}"
Plot for sale• 112745 m² without real estateSt Peter am Ottersbach Dietersdorf am Gnasbach Steiermark 8093,https://www.bezrealitky.com/properties-flats-houses/905799-nabidka-prodej-pozemku-st-peter-am-ottersbach,Sale,0.0,,,,,,,,"{""Listing ID"": ""905799"", ""Price per unit"": ""€0/ m2"", ""Plot space"": ""112,745m²"", """": ""Garage""}"
"Commercial property for sale• 6900 m² without real estateGewerbestrasse 2-4, , Bavaria",https://www.bezrealitky.com/properties-flats-houses/905803-nabidka-prodej-nebytoveho-prostoru-gewerbestrasse-2-4-zell-am-main,Sale,0.0,,,,,,,,"{""Listing ID"": ""905803"", ""Plot space"": ""6,900m²"", ""Age"": ""Over 50 years"", ""Plocha nebytového prostoru"": ""6,900m²"", ""Condition"": ""Very good"", ""Price per unit"": ""€0/ m2"", """": ""MHD 3 minutes on foot""}"
Office to rent• 80 m² without real estateWien 9. Bezirk Wien 1090,https://www.bezrealitky.com/properties-flats-houses/905826-nabidka-pronajem-kancelare-wien,Rent,,,,0.0,,,,,"{""Listing ID"": ""905826"", ""Condition"": ""After reconstruction"", ""Plocha kanceláře"": ""80m²"", ""Price per unit"": ""€0/ m2"", """": ""MHD 2 minutes on foot""}"
"Commercial property to rent• 35 m² without real estateMargarethenstr 20, , Mecklenburg-Vorpommern",https://www.bezrealitky.com/properties-flats-houses/905862-nabidka-pronajem-nebytoveho-prostoru-margarethenstr-20-binz,Rent,,,,0.0,,,,,"{""Listing ID"": ""905862"", ""Price per unit"": ""€0/ m2"", ""Plocha nebytového prostoru"": ""35m²"", """": ""MHD 2 minutes on foot""}"
Plot for sale• 1180 m² without real estateSeewalchen Litzlberg Oberösterreich 4863,https://www.bezrealitky.com/properties-flats-houses/905917-nabidka-prodej-pozemku-seewalchen,Sale,0.0,,,,,,,,"{""Listing ID"": ""905917"", ""Price per unit"": ""€0/ m2"", ""Plot space"": ""1,180m²"", """": ""MHD 3 minutes on foot""}"
Plot for sale• 3045 m² without real estateKorneuburg Korneuburg Niederösterreich 2100,https://www.bezrealitky.com/properties-flats-houses/905938-nabidka-prodej-pozemku-korneuburg,Sale,0.0,,,,,,,,"{""Listing ID"": ""905938"", ""Plot space"": ""3,045m²"", ""Available from"": ""03/06/2025"", ""Price per unit"": ""€0/ m2"", """": ""MHD 1 minute on foot""}"
Commercial property to rent• 1500 m² without real estateEbene 21 Oetz Ebene Tirol 6433,https://www.bezrealitky.com/properties-flats-houses/905946-nabidka-pronajem-nebytoveho-prostoru-ebene-21-oetz,Rent,,,,0.0,,,,,"{""Listing ID"": ""905946"", ""Plot space"": ""500m²"", ""Plocha nebytového prostoru"": ""1,500m²"", ""Price per unit"": ""€0/ m2"", """": ""MHD 5 minutes on foot""}"
Plot for sale• 150 m² without real estateIrnfritznähe Niederösterreich 3754,https://www.bezrealitky.com/properties-flats-houses/905996-nabidka-prodej-pozemku-irnfritznahe,Sale,0.0,,,,,,,,"{""Listing ID"": ""905996"", ""Plot space"": ""150m²"", ""Available from"": ""03/06/2025"", ""Price per unit"": ""€0/ m2"", """": ""MHD 0 minutes on foot""}"
Commercial property to rent• 53 m² without real estateGewerbestr. 5 Feldkirchen Kärnten 9560,https://www.bezrealitky.com/properties-flats-houses/906000-nabidka-pronajem-nebytoveho-prostoru-gewerbestr-5-feldkirchen,Rent,,,,0.0,,,,,"{""Listing ID"": ""906000"", ""Condition"": ""After reconstruction"", ""Plocha nebytového prostoru"": ""53m²"", ""Price per unit"": ""€0/ m2"", """": ""MHD 5 minutes on foot""}"
Commercial property to rent• 863 m² without real estateAm Poggersdorf Poggersdorf Kärnten 9130,https://www.bezrealitky.com/properties-flats-houses/906016-nabidka-pronajem-nebytoveho-prostoru-am-poggersdorf,Rent,,,,0.0,,,,,"{""Listing ID"": ""906016"", ""Condition"": ""After reconstruction"", ""Plocha nebytového prostoru"": ""863m²"", ""Price per unit"": ""€0/ m2"", """": ""MHD 1 minute on foot""}"
Office to rent• 288 m² without real estateAm Wirtschaftspark 14 Poggersdorf Poggersdorf Kärnten 9130,https://www.bezrealitky.com/properties-flats-houses/906017-nabidka-pronajem-kancelare-am-wirtschaftspark-14-poggersdorf,Rent,,,,0.0,,,,,"{""Listing ID"": ""906017"", ""Condition"": ""After reconstruction"", ""Price per unit"": ""€0/ m2"", ""Plocha kanceláře"": ""288m²"", ""Floor"": ""1. podlaží z 2"", """": ""Lift""}"
Plot for sale• 1111 m² without real estateQuellweg St.Kanzian Sankt Kanzian am Klopeiner See Kärnten 9122,https://www.bezrealitky.com/properties-flats-houses/906023-nabidka-prodej-pozemku-quellweg-st-kanzian,Sale,0.0,,,,,,,,"{""Listing ID"": ""906023"", ""Price per unit"": ""€0/ m2"", ""Plot space"": ""1,111m²"", """": ""MHD 5 minutes on foot""}"
Commercial property to rent• 200 m² without real estateKöln Longerich Nordrhein-Westfalen 50737,https://www.bezrealitky.com/properties-flats-houses/906116-nabidka-pronajem-nebytoveho-prostoru-koln,Rent,,,,0.0,,,,,"{""Listing ID"": ""906116"", ""Price per unit"": ""€0/ m2"", ""Plocha nebytového prostoru"": ""200m²"", """": ""MHD 4 minutes on foot""}"
"Plot for sale• 415 m² without real estateAmselstraße 48, , Bavaria",https://www.bezrealitky.com/properties-flats-houses/906135-nabidka-prodej-pozemku-amselstrasse-48-ergolding,Sale,0.0,,,,,,,,"{""Listing ID"": ""906135"", ""Price per unit"": ""€0/ m2"", ""Plot space"": ""415m²"", """": ""MHD 3 minutes on foot""}"
Recreational property for sale• 3963 m² without real estateLiechtensteinstr. 1 Niederabsdorf Niederabsdorf Niederösterreich 2272,https://www.bezrealitky.com/properties-flats-houses/906850-nabidka-prodej-chaty-chalupy-liechtensteinstr-1-niederabsdorf,Sale,0.0,,,,,,,,"{""Listing ID"": ""906850"", ""Plot space"": ""19,161m²"", ""Price per unit"": ""€0/ m2"", ""Užitná plocha"": ""3,963m²"", ""Condition"": ""After reconstruction"", """": ""Garage""}"
Plot for sale• 1192 m² without real estateHofkirchen Saxen Oberösterreich 4351,https://www.bezrealitky.com/properties-flats-houses/906880-nabidka-prodej-pozemku-hofkirchen-saxen,Sale,0.0,,,,,,,,"{""Listing ID"": ""906880"", ""Plot space"": ""1,192m²"", ""Available from"": ""03/06/2025"", ""Price per unit"": ""€0/ m2"", """": ""MHD 3 minutes on foot""}"
Plot for sale• 1076 m² without real estateLandshut Landshut Bayern 84028,https://www.bezrealitky.com/properties-flats-houses/906885-nabidka-prodej-pozemku-landshut,Sale,0.0,,,,,,,,"{""Listing ID"": ""906885"", ""Price per unit"": ""€0/ m2"", ""Plot space"": ""1,076m²"", """": ""MHD 0 minutes on foot""}"
"House for sale6+1 • 164 m² without real estate, North Rhine-Westphalia",https://www.bezrealitky.com/properties-flats-houses/906964-nabidka-prodej-domu-rheine,Rent,,,,,,,,,"{""Listing ID"": ""906964"", ""Layout"": ""6+1"", ""Condition"": ""After reconstruction"", ""Total floors"": ""2"", ""Užitná plocha"": ""164m²"", ""Plot space"": ""404m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€3,287/ m2"", """": ""MHD 2 minutes on foot""}"
